Time (seconds),Goal velocity (deg/s),Measured velocity (deg/s),Motor temperature (degC)
5164.263793,-180.0,-179.9399787177048,57
5195.7109623,180.0,179.9399334093078,57
5227.2119477,-180.0,-179.9400664532452,57
5258.7808482,180.0,179.939989189348,57
5290.2828238,-180.0,-179.9399858044356,57
5321.7716882,180.0,179.93996681458,57
5353.236954,-180.0,-179.940026394293,57
5384.6779952,180.0,179.9399704239184,57
5416.163131699999,-180.0,-179.9399695999238,57
5447.6174735,180.0,179.9399683528248,57
5479.114124600001,-180.0,-179.9400896462072,57
5510.703090700001,180.0,179.9399930193088,57
5542.2624896,-180.0,-179.9400838784152,57
5573.7301357,180.0,179.9399539396852,57
5605.179370899999,-180.0,-179.9399618611208,57
5636.625722500001,180.0,179.9399158694824,57
5668.102453400001,-180.0,-179.940071670508,57
5699.6863216,180.0,179.9399900765346,57
5731.2768645,-180.0,-179.9400926285522,57
5762.8571452,180.0,179.9399574813216,57
5794.4484993999995,-180.0,-179.9400066440288,57
5826.1957946,180.0,179.9398258495998,57
5857.7784391000005,-180.0,-179.940167266465,57
5889.35845,180.0,179.9398680877676,57
5920.943469899999,-180.0,-179.939958180029,57
5952.4031319999995,180.0,179.9397841160378,57
5983.9989448,-180.0,-179.9398597775644,57
6015.4740834,180.0,179.939918954347,57
6046.9285258,-180.0,-179.9398037810444,57
6078.3612156,180.0,179.939845312572,57
6109.7896531999995,-180.0,-179.9398731080938,57
6141.2192288999995,180.0,179.939940733275,57
6172.684861,-180.0,-179.9398863973368,57
6204.1584012,180.0,179.9398821684958,57
6235.6236192,-180.0,-179.9399934408568,58
6267.1704821,180.0,179.9399420779834,57
6298.6582708999995,-180.0,-179.9399660431276,57
6330.0779998,180.0,179.9399662047224,57
6361.529023700001,-180.0,-179.9400868213874,57
6392.9776509,180.0,179.9400141385342,57
6424.43966,-180.0,-179.939970389741,57
6455.905902500001,180.0,179.9400179427762,57
6487.3570482,-180.0,-179.9400160017886,57
6518.8203718,180.0,179.9399141765254,57
6550.3010727,-180.0,-179.93997427308,57
6581.7594825,180.0,179.9399404718682,57
6613.2171846,-180.0,-179.9400866718922,58
6644.7679498,180.0,179.9400086277572,57
6676.327075699999,-180.0,-179.9401755056488,57
6707.913106399999,180.0,179.9400604481808,57
6739.376259500001,-180.0,-179.940091066743,57
6770.858165899999,180.0,179.9398546163168,57
6802.4168013,-180.0,-179.9401300561072,57
6833.878858100001,180.0,179.9400474138674,57
6865.3574833,-180.0,-179.9399936728828,57
6896.819325300001,180.0,179.9400476009306,57
6928.2795929,-180.0,-179.939971318619,57
6959.7248678,180.0,179.940036106778,57
6991.1803549,-180.0,-179.940054319667,57
7022.622025500001,180.0,179.9398901846238,57
7054.117205299999,-180.0,-179.9400681121044,57
7085.681972,180.0,179.9400196428442,55
7117.170349100001,-180.0,-179.9400320023472,57
7148.602093899999,180.0,179.939965532302,57
7180.0787612,-180.0,-179.940003800126,57
7211.556675899999,180.0,179.9400237724186,57
7243.000245699999,-180.0,-179.9400761618036,57
7274.4510226,180.0,179.940006979029,57
7305.901921799999,-180.0,-179.9401158683434,57
7337.4048784999995,180.0,179.9400311784826,57
7368.8524586,-180.0,-179.9401724194278,57
7400.430633100001,180.0,179.9400055867298,58
7432.031293599999,-180.0,-179.9401440372368,57
7463.4967461,180.0,179.9399950583504,57
7494.976938600001,-180.0,-179.9400882859192,57
7526.420722999999,180.0,179.9400270287722,57
7557.8701755,-180.0,-179.94003419591,57
7589.3244892,180.0,179.9399053883272,57
7620.794502299999,-180.0,-179.940041593141,57
7652.268987400001,180.0,179.9399868099828,57
7683.7416271,-180.0,-179.939996528181,57
7715.1874935,180.0,179.9399956475292,57
7746.667050100001,-180.0,-179.9401112570942,57
7778.162577200001,180.0,179.9399328956324,57
7809.621012400001,-180.0,-179.9401717245374,57
7841.1051659,180.0,179.9398832578752,58
7872.5979484,-180.0,-179.9399903795304,57
7904.082586,180.0,179.9398959917322,57
7935.5555903,-180.0,-179.9399916528968,57
7967.009936799999,180.0,179.9399008970578,58
7998.4609949999995,-180.0,-179.9398846527636,57
8029.910113399999,180.0,179.939823631068,57
8061.4122742,-180.0,-179.9398789555178,57
8092.9285019,180.0,179.9399235873754,57
