Goal velocity (deg/s),Present velocity (deg/s),Measured velocity (deg/s)
-139.2,-139.10589428832034,-139.1458146968356
139.2,139.12553244403873,139.1458762553776
-139.79999999999998,-139.7211003120136,-139.7516552921464
139.79999999999998,139.72184277953846,139.7516406604392
-140.39999999999998,-140.3264580937526,-140.3574301763046
140.39999999999998,140.32600894106167,140.3575017211918
-141.0,-140.9343750639414,-140.9633719651074
141.0,140.93780279975593,140.963279179285
-141.6,-141.53986940996322,-141.5691228985372
141.6,141.53893734915192,141.5690875641842
-142.2,-142.14701200639396,-142.1749376109884
142.2,142.14770793302267,142.17493495612
-142.79999999999998,-142.75022634305958,-142.7808540273148
142.79999999999998,142.75440936069188,142.780733481881
-143.39999999999998,-143.35670643900423,-143.3868438464302
143.39999999999998,143.35742531063687,143.386529578087
-144.0,-143.95988184632768,-143.9928418381964
144.0,143.96839073049657,143.9924805972186
-144.6,-144.57238069321986,-144.5986751274436
144.6,144.57498233935408,144.5983912637616
-145.2,-145.10772751932723,-145.1373735897296
145.2,145.1140650929639,145.1369873190614
-145.79999999999998,-145.71504464899007,-145.743182334803
145.79999999999998,145.72079283887453,145.7428620723532
-146.39999999999998,-146.31712989803262,-146.3490759755684
146.39999999999998,146.32034012908682,146.3489610216786
-147.0,-146.92021765755817,-146.954977933785
147.0,146.92643224403992,146.9548705325096
-147.6,-147.53104560205188,-147.5608161864012
147.6,147.52843619247102,147.5608231947004
-148.2,-148.138706623531,-148.1667102685754
148.2,148.1320888214613,148.166637824929
-148.79999999999998,-148.7350522936708,-148.772499066317
148.79999999999998,148.74370441663973,148.7724797529988
-149.39999999999998,-149.34997394916354,-149.3782906776194
149.39999999999998,149.34257021090406,149.3783274966204
-150.0,-149.948476273854,-149.9840779233558
150.0,149.9505560165948,149.9841239353842
-150.6,-150.56514563771944,-150.5898884888518
150.6,150.5652545473336,150.5898849197076
-151.2,-151.16492463001495,-151.1956954535966
151.2,151.1583832143983,151.1957652934434
-151.79999999999998,-151.70285514551682,-151.734235060773
151.79999999999998,151.69862905847123,151.734120699569
