Time (seconds),Goal velocity (deg/s),Measured velocity (deg/s),Motor temperature (degC)
4317.5434397,180.0,179.9404265177678,55
4349.0164315,-180.0,-179.940485650818,55
4380.4841885,180.0,179.9404427557076,55
4411.9661194,-180.0,-179.9404212074006,55
4443.4369286,180.0,179.940350071043,55
4474.9021114,-180.0,-179.9404370729522,55
4506.3524958,180.0,179.9404547252754,55
4537.8212805,-180.0,-179.9404826926484,55
4569.3003615,180.0,179.9404832861136,55
4600.7705613,-180.0,-179.9404360632184,57
4632.2373442,180.0,179.9406722962168,55
4663.7164186,-180.0,-179.9404471736124,55
4695.215007,180.0,179.9403780425436,55
4726.711349,-180.0,-179.9405268798866,55
4758.1966432,180.0,179.9405918699932,57
4789.6933022,-180.0,-179.9404269479914,55
4821.1663,180.0,179.9404711828676,57
4852.6623873,-180.0,-179.9404105267984,55
4884.1289586,180.0,179.9405213902072,55
4915.6364247,-180.0,-179.9403979632822,57
4947.1203125,180.0,179.940454206922,57
4978.6127022,-180.0,-179.9404962939778,55
5010.0930503,180.0,179.9406702472056,57
5041.5673305,-180.0,-179.9405111669682,57
5073.0620809,180.0,179.9404970370284,57
5104.5445266,-180.0,-179.940418910826,57
5136.033797,180.0,179.9405546230892,57
5167.5346234,-180.0,-179.9405319274558,55
5199.0024346,180.0,179.9406733627408,57
5230.4978439,-180.0,-179.9404820948484,55
5262.095547,180.0,179.9405516223836,55
5293.5919985,-180.0,-179.9404959731354,55
5325.0794789,180.0,179.9405187990422,55
5356.564329,-180.0,-179.940563436438,55
5388.0497685,180.0,179.9406021043538,57
5419.5521176,-180.0,-179.9402640122978,55
5451.1236222,180.0,179.94039091225,57
5482.6049118,-180.0,-179.9404851745088,57
5514.1807393,180.0,179.9403962349208,57
5545.7067663,-180.0,-179.9405900571942,57
5577.3189884,180.0,179.9404034656734,57
5609.0388992,-180.0,-179.9404706098442,57
5640.5777216999995,180.0,179.9404449076178,57
5672.0763061,-180.0,-179.9403740004506,55
5703.5672026,180.0,179.9404982222914,57
5735.0746736,-180.0,-179.94059565611,57
5766.6352715,180.0,179.9402925850418,57
5798.2376714,-180.0,-179.9404215351864,57
5829.7082848,180.0,179.940359105036,57
5861.1740174999995,-180.0,-179.9402873691166,57
5892.6693186,180.0,179.9404998108144,55
5924.1705448,-180.0,-179.940531646042,57
5955.6667461,180.0,179.940523625943,57
5987.1733726,-180.0,-179.9405147021884,57
6018.6242065,180.0,179.9406452100862,57
6050.1328468,-180.0,-179.9405369191318,57
6081.6090752,180.0,179.9406940132134,57
6113.083103,-180.0,-179.9405737801038,57
6144.5696533,180.0,179.9405103561768,57
6176.0425301,-180.0,-179.9403967271054,57
6207.4974014,180.0,179.94052421775,57
6238.9972357999995,-180.0,-179.9404206681774,58
6270.6432569,180.0,179.9404463538008,57
6302.1617417,-180.0,-179.9404637626012,57
6333.7244218,180.0,179.9404148675434,57
6365.1968873999995,-180.0,-179.9405554472662,57
6396.7807121999995,180.0,179.9404928290916,57
6428.408184,-180.0,-179.9404518492374,57
6459.8638756,180.0,179.9404257569412,58
6491.340901,-180.0,-179.9403579676046,57
6522.8401445,180.0,179.940494001084,57
6554.3258602999995,-180.0,-179.9405017291276,57
6585.7969418,180.0,179.940485858368,57
6617.274362,-180.0,-179.940503897622,57
6648.7525614999995,180.0,179.940473515298,57
6680.2236528,-180.0,-179.9404083798006,57
6711.704218,180.0,179.940376415647,55
6743.2067956,-180.0,-179.9402391218046,57
6774.6952744,180.0,179.9404486222826,57
6806.1646638,-180.0,-179.9405103134702,58
6837.6488779,180.0,179.9406341713226,57
6869.1384102,-180.0,-179.9404559272258,57
6900.6077706999995,180.0,179.940458314582,57
6932.1075734999995,-180.0,-179.9405079746588,57
6963.6427552,180.0,179.9406291733748,58
6995.2250912,-180.0,-179.9404058591986,57
7026.7203509,180.0,179.9403944458062,57
7058.1787283,-180.0,-179.9403522043068,57
7089.665781,180.0,179.9404476704128,57
7121.1580492,-180.0,-179.9403426071668,57
7152.6190272,180.0,179.9404508333658,58
7184.0963658,-180.0,-179.940378847747,58
7215.6001307,180.0,179.9404692936134,57
7247.0820156,-180.0,-179.9405368947212,57
7278.5785416,180.0,179.9405438129338,57
7310.0884202,-180.0,-179.9402734651796,57
7341.5752234,180.0,179.9404335086342,57
7373.0804711,-180.0,-179.9405159638798,57
7404.5918464,180.0,179.9405729260536,57
7436.1092423,-180.0,-179.9405371410482,57
7467.5568539999995,180.0,179.940604103574,57
7499.0353558,-180.0,-179.9404204860852,57
7530.5348801,180.0,179.9402966567822,57
7562.0072645,-180.0,-179.9403676994402,58
7593.5231736,180.0,179.9405970382648,57
7625.0647116,-180.0,-179.9405319888332,58
7656.5234599,180.0,179.940630893307,57
7688.0730403,-180.0,-179.9404543079834,58
7719.6904622,180.0,179.9404967989194,57
7751.1890943,-180.0,-179.9404758677486,57
7782.7132526,180.0,179.9405750082738,58
7814.2012945999995,-180.0,-179.9405838427406,57
7845.6874304,180.0,179.9405402116556,57
7877.2121744,-180.0,-179.9404780382908,57
7908.7284245,180.0,179.940573143222,55
7940.2210798999995,-180.0,-179.940488649669,58
7971.809168299999,180.0,179.9404295422768,57
