Goal velocity (deg/s),Present velocity (deg/s),Measured velocity (deg/s)
129.6,129.5518819587039,129.5871791826032
-130.2,-130.16990853330253,-130.1927323866738
130.2,130.1632698646597,130.192968801294
-130.79999999999998,-130.76713358283078,-130.798521035703
130.79999999999998,130.77667687991413,130.7985491023108
-131.39999999999998,-131.30731503994585,-131.337060601125
131.39999999999998,131.31108629765637,131.337254707814
-132.0,-131.913009554143,-131.9426934887682
132.0,131.9049937116826,131.9430047456038
-132.6,-132.52255792256454,-132.5485976523078
132.6,132.5151792975992,132.5487490968088
-133.2,-133.12714135226977,-133.1544607491794
133.2,133.1142586901878,133.1547150628788
-133.79999999999998,-133.73080951396037,-133.760258930367
133.79999999999998,133.72840143976154,133.7603589073768
-134.39999999999998,-134.3467160592685,-134.366240336341
134.39999999999998,134.33513097323234,134.3661281676784
-135.0,-134.94287608750338,-134.972171786099
135.0,134.94551931072712,134.9720268500412
-135.6,-135.54718784462534,-135.578083346457
135.6,135.54797262617484,135.5778746398488
-136.2,-136.15846369189,-136.1839553174594
136.2,136.16387873788264,136.183754229031
-136.79999999999998,-136.7640201871016,-136.7898807621916
136.79999999999998,136.76560889214704,136.7896089008328
-137.39999999999998,-137.37237959026078,-137.3958344420932
137.39999999999998,137.37087115747488,137.3956387879382
-138.0,-137.9034347728812,-137.9345223581758
138.0,137.90618791996835,137.9342309195422
-138.6,-138.51120840630566,-138.540439804188
138.6,138.51802162080563,138.5401702214954
-139.2,-139.1214044776111,-139.1463346502266
139.2,139.1091936368605,139.1461327087678
-139.79999999999998,-139.72280428824476,-139.752137706895
139.79999999999998,139.72083030373733,139.7520379382736
-140.39999999999998,-140.3270983676107,-140.3579563911396
140.39999999999998,140.32799295360653,140.3579263692986
-141.0,-140.930036360727,-140.9637281260878
141.0,140.9367978184616,140.963763463087
-141.6,-141.54314525554938,-141.569543747933
141.6,141.53737414187373,141.569585336506
-142.2,-142.14699752411232,-142.1751971213082
142.2,142.1448864476596,142.1753227321678
-142.79999999999998,-142.75596688224178,-142.7813303445744
142.79999999999998,142.74802345913065,142.7811006617578
-143.39999999999998,-143.35928336860815,-143.3869171860208
143.39999999999998,143.3498686120548,143.387023498496
-144.0,-143.96528180354363,-143.9926568280954
144.0,143.96938082270222,143.9926968293156
-144.6,-144.57080300816295,-144.5985183859412
144.6,144.56899461968473,144.5986067205408
-145.2,-145.10778309879603,-145.1370168020896
145.2,145.10958909987897,145.1370692736148
-145.79999999999998,-145.71204867573198,-145.742906346333
145.79999999999998,145.71923999567585,145.7428841769324
-146.39999999999998,-146.32336572563344,-146.3488709678806
146.39999999999998,146.32024433983113,146.3486966743944
-147.0,-146.93052699000194,-146.9548250062346
147.0,146.9321144593573,146.9546154277334
-147.6,-147.53333406137625,-147.5607257043928
147.6,147.53534274862733,147.5604257359612
-148.2,-148.13700646087835,-148.1667740947012
148.2,148.13269707754054,148.1663872549494
-148.79999999999998,-148.74258460190788,-148.7727369209742
148.79999999999998,148.7393796516972,148.772434877719
-149.39999999999998,-149.35378413337244,-149.3787100928418
149.39999999999998,149.3414019094103,149.3784077508064
-150.0,-149.96145940162887,-149.9846046293118
150.0,149.96014308942873,149.9844287251182
-150.6,-150.56556607207608,-150.5905273207636
150.6,150.55875152600078,150.5904528227006
-151.2,-151.16055209560355,-151.1962163113124
151.2,151.1654451404292,151.196311465967
-151.79999999999998,-151.70611323129958,-151.7347653737456
151.79999999999998,151.7023440453667,151.7347259084856
-152.39999999999998,-152.30704904137056,-152.3405426505518
152.39999999999998,152.31159580641295,152.340533194539
-153.0,-152.90970988705055,-152.946422732321
153.0,152.91904251681504,152.946214072119
-153.6,-153.52263055465627,-153.552182325279
153.6,153.52303076805333,153.5521102373572
-154.2,-154.13389517432762,-154.158091065938
154.2,154.12691060676443,154.157896572116
-154.79999999999998,-154.73621373307643,-154.7639235611284
154.79999999999998,154.74170806266744,154.763787978036
-155.39999999999998,-155.34405820533482,-155.3699948472386
155.39999999999998,155.33553404073882,155.3693391041178
-156.0,-155.94251107594826,-155.9758953237186
156.0,155.9483125619595,155.9755311062466
-156.6,-156.55277205648068,-156.5817128777442
